epoch,train_loss,val_ap@0.5,val_auc,lr
1,1.321380615234375,0.13284270446083185,0.7659600614439324,0.0005
2,1.2821856439113617,0.19206291001256073,0.8053609831029186,0.0005
3,1.2286775708198547,0.22043842033836153,0.8102764976958525,0.0005
4,1.181826800107956,0.21691957791487618,0.8124270353302612,0.0005
5,1.1538442969322205,0.21477975107827932,0.815668202764977,0.0005
6,1.0738674849271774,0.21561633698496024,0.8190015360983103,0.0005
7,1.0477376282215118,0.2178588719026528,0.8206298003072198,0.0005
8,0.9761088341474533,0.22647279394556022,0.8245775729646697,0.0005
9,0.8847764879465103,0.23306984344589304,0.8254377880184331,0.0005
10,0.8473723232746124,0.2410252250863665,0.8250537634408602,0.0005
11,0.7704069167375565,0.25309311663146944,0.8219969278033794,0.0005
12,0.6124187111854553,0.2945261470811717,0.821689708141321,0.0005
13,0.6274537593126297,0.2760503300308096,0.8193548387096774,0.0005
14,0.5426952242851257,0.2799375630156271,0.8127035330261136,0.0005
15,0.5036474615335464,0.290425503932112,0.7893087557603686,0.0005
16,0.5019138306379318,0.2873089374202491,0.7902304147465438,0.0005
17,0.4550611674785614,0.26421980228225317,0.7996006144393241,0.0003
18,0.42038916796445847,0.2720214462750821,0.7867281105990783,0.0003
19,0.44901498407125473,0.2541559882205706,0.7732565284178188,0.0003
20,0.36921318620443344,0.2465806801189923,0.7751766513056834,0.0003
21,0.3361880034208298,0.24713781391211076,0.7707066052227343,0.0003
22,0.3687097504734993,0.25037642858293574,0.7653456221198156,0.00017999999999999998
23,0.28319912031292915,0.2491181488688296,0.7647926267281105,0.00017999999999999998
24,0.28967132791876793,0.2455236041826483,0.7680645161290323,0.00017999999999999998
25,0.3310105428099632,0.23747374367776425,0.772995391705069,0.00017999999999999998
26,0.26654917374253273,0.23447121244972938,0.7712903225806452,0.00017999999999999998
27,0.23798467591404915,0.23358618257064645,0.7644700460829492,0.00010799999999999998
28,0.29894470050930977,0.23361269400397122,0.7666205837173579,0.00010799999999999998
29,0.2047860436141491,0.22944629326938915,0.7679262672811059,0.00010799999999999998
30,0.2209160514175892,0.22839378686350134,0.7662980030721966,0.00010799999999999998
31,0.2297140546143055,0.2261256529211683,0.7637019969278035,0.00010799999999999998
32,0.20998483151197433,0.22375231200518453,0.7630721966205837,6.479999999999999e-05
33,0.19495896622538567,0.2267782880067168,0.7610138248847926,6.479999999999999e-05
34,0.23072758689522743,0.2231612974571829,0.7577572964669739,6.479999999999999e-05
35,0.23356515169143677,0.21995613999739091,0.7540706605222736,6.479999999999999e-05
36,0.20197918266057968,0.2223935966170463,0.7529032258064516,6.479999999999999e-05
37,0.23182015493512154,0.22173676485168714,0.7554224270353302,3.8879999999999994e-05
38,0.22982803732156754,0.21945750802683522,0.7566513056835638,3.8879999999999994e-05
39,0.2154093198478222,0.2192945392920331,0.7573425499231952,3.8879999999999994e-05
40,0.2170359268784523,0.21938995621298388,0.7568663594470046,3.8879999999999994e-05
41,0.23040100932121277,0.21907625911631123,0.7563133640552996,3.8879999999999994e-05
42,0.21315060555934906,0.21915056966058816,0.7563287250384024,2.3327999999999994e-05
43,0.2584626376628876,0.2187428671853318,0.7563133640552995,2.3327999999999994e-05
44,0.20697150006890297,0.21840152575011362,0.7570199692780337,2.3327999999999994e-05
45,0.2131112888455391,0.2180824797341815,0.7574961597542244,2.3327999999999994e-05
46,0.2273261435329914,0.21825934078463127,0.7570506912442397,2.3327999999999994e-05
47,0.19442495331168175,0.2177740578164137,0.7561597542242703,1.3996799999999996e-05
48,0.2274237759411335,0.21764946912311803,0.7557603686635945,1.3996799999999996e-05
49,0.19276046007871628,0.21880766459630566,0.7555145929339476,1.3996799999999996e-05
50,0.22155287861824036,0.2190034681405563,0.755468509984639,1.3996799999999996e-05
51,0.19604572281241417,0.21879547573230515,0.7555145929339478,1.3996799999999996e-05
52,0.20152778550982475,0.21453100710459932,0.7549923195084486,1e-05
53,0.18765246495604515,0.2138427126141517,0.7545775729646698,1e-05
54,0.23830313980579376,0.21378619773964844,0.7541321044546851,1e-05
55,0.20348584279417992,0.21364566248429975,0.7540092165898618,1e-05
56,0.21406424418091774,0.21351650744492184,0.7537173579109063,1e-05
57,0.23272861167788506,0.21345450719695633,0.7538556067588326,1e-05
