src_id,dst_id,weight,equity_link_cnt
1,796,2.2238,4
1,3210,0.01,1
50,852,1.5844,2
94,96,1.6398000000000001,4
96,94,1.6398000000000001,4
96,2331,1.661,2
153,1695,0.01,1
212,2589,0.2666,3
291,1423,0.022400000000000003,1
796,1,2.2238,4
817,2315,1.5798999999999999,2
852,50,1.5844,2
881,2194,1.9935,3
1094,1328,0.0429,1
1124,2221,0.04,4
1328,1094,0.0429,1
1423,291,0.022400000000000003,1
1549,2722,1.0,1
1628,2332,1.0,1
1695,153,0.01,1
2158,2301,0.16859999999999997,3
2194,881,1.9935,3
2197,3552,0.01,1
2202,3396,0.02,2
2221,1124,0.04,4
2260,3094,0.02,2
2301,2158,0.16859999999999997,3
2315,817,1.5798999999999999,2
2331,96,1.661,2
2332,1628,1.0,1
2589,212,0.2666,3
2722,1549,1.0,1
3094,2260,0.02,2
3210,1,0.01,1
3396,2202,0.02,2
3552,2197,0.01,1
